
BookID,PreferentialPrice,author,bookName,image_urls,images,number,press,price
11443613,31.80,村上春树,挪威的森林 ,//img12.360buyimg.com/n3/jfs/t5833/197/1991017843/113076/29459e7b/592bf168N111ca110.jpg,, 39 ,上海译文出版社,48.00
11825528,27.50,高铭,天才在左疯子在右完整版　[荐书联盟推荐],//img10.360buyimg.com/n3/jfs/t6124/187/760955031/570043/ef3f4f4e/592bf16cN9315c9fc.jpg,, 40 ,北京联合出版公司,39.80
11825528,27.50,高铭,天才在左疯子在右完整版　[荐书联盟推荐],//img10.360buyimg.com/n3/jfs/t6124/187/760955031/570043/ef3f4f4e/592bf16cN9315c9fc.jpg,, 40 ,北京联合出版公司,39.80
11825528,27.50,高铭,天才在左疯子在右完整版　[荐书联盟推荐],//img10.360buyimg.com/n3/jfs/t6124/187/760955031/570043/ef3f4f4e/592bf16cN9315c9fc.jpg,, 40 ,北京联合出版公司,39.80
11911791,17.20,曹文轩,曹文轩纯美小说：草房子（2016版）,//img10.360buyimg.com/n3/jfs/t10885/90/1676944853/291012/8f1f8485/59e5a7efNc8a36761.jpg,, 43 ,江苏凤凰少年儿童出版社,22.00
12235077,64.00,习近平,习近平谈治国理政 第二卷（中文平装）,//img13.360buyimg.com/n3/jfs/t13852/67/197568506/65137/2e9df40a/5a0566d8N7b05155d.jpg,, 44 ,外文出版社,80.00
11452840,27.30,东野圭吾,解忧杂货店,//img10.360buyimg.com/n3/jfs/t16534/222/2084168776/1001103/357100ed/5a77ca78Nf9e169be.jpg,, 45 ,南海出版公司,39.50
11582083,28.10,蔡崇达,皮囊,//img14.360buyimg.com/n3/jfs/t11824/344/70950795/204778/f8cc11b6/59e71e10Nc2b1d800.jpg,, 46 ,天津人民出版社,39.80
12327188,44.90,珍妮·罗森,高兴死了！！！,//img10.360buyimg.com/n3/jfs/t19243/79/807923912/370618/68e679d9/5aaf2c27Ne541d77e.jpg,, 47 ,江苏文艺出版社,59.90
11987633,78.50,中国社会科学院语言研究所词典编辑室,现代汉语词典（第7版）,//img11.360buyimg.com/n3/jfs/t3757/38/34269690/485570/3f12bc2/57fc87a3N82181b12.jpg,, 48 ,商务印书馆,109.00
11977623,49.20,拉尔夫·布奇科,北斗童书·德国经典专注力亲子游戏书 第一辑（套装共3册）,//img14.360buyimg.com/n3/jfs/t4018/197/300113302/828723/82a26eee/5847c42aN921b98e1.jpg,, 49 ,文化发展出版社,60.00
11977623,49.20,拉尔夫·布奇科,北斗童书·德国经典专注力亲子游戏书 第一辑（套装共3册）,//img14.360buyimg.com/n3/jfs/t4018/197/300113302/828723/82a26eee/5847c42aN921b98e1.jpg,, 49 ,文化发展出版社,60.00
11781267,34.20,安东尼·德·圣-埃克苏佩里,小王子（纯美珍藏绘本）,//img11.360buyimg.com/n3/jfs/t14257/68/2266507583/288946/87897a39/5a815f10N7cf4a085.jpg,, 51 ,中央广播电视大学出版社,45.00
12000663,60.00,罗自国,幼儿睡前故事绘本(全套60册) 0-3-6岁童话书儿童启蒙认知早教,//img13.360buyimg.com/n3/jfs/t3388/63/1414069775/251733/d1ded900/5825258aN0b776483.jpg,, 52 ,文化发展出版社,120.00
12235286,28.70,Cornelia,请不要随便摸我  (全彩),//img12.360buyimg.com/n3/jfs/t11299/246/395996892/587109/bcf39534/59efed7eN3c0a4b08.jpg,, 53 ,电子工业出版社,35.00
11578045,12.50,杨红樱,杨红樱笑猫日记：云朵上的学校,//img10.360buyimg.com/n3/jfs/t448/127/466897125/189996/f43e7220/54696e43N1f05dad0.jpg,, 54 ,明天出版社,15.00
12163184,219.10,贝尔·格里尔斯,荒野求生少年生存小说系列（套装共12册）,//img12.360buyimg.com/n3/jfs/t4264/136/3713357036/451039/f370635/58e60bb8N30866069.jpg,, 55 ,接力出版社,264.00
12316182,82.80,小木盒童书馆,全脑思维开发（套装全12册）,//img12.360buyimg.com/n3/jfs/t17140/353/532531605/449431/eff4caa5/5a922b31Nd3be1ee6.jpg,, 56 ,长江出版社,165.60
12084797,29.90,佐野洋子,活了100万次的猫珍藏版,//img10.360buyimg.com/n3/jfs/t6652/357/528149228/508023/6fb1f085/59410a88N30ac50fb.jpg,, 57 ,接力出版社,36.00
11141838,21.40,尼尔·布朗,学会提问（原书第10版）,//img13.360buyimg.com/n3/g10/M00/00/17/rBEQWFEA2soIAAAAAAE4yeHX09AAAAJJgA4oUcAATjh341.jpg,, 58 ,机械工业出版社,35.00
12192773,28.40,罗广斌,红岩,//img12.360buyimg.com/n3/jfs/t8044/203/1955340487/93895/1dd45327/59c1d9dfNd3774581.jpg,, 59 ,中国青年出版社,36.00
12264231,33.50,道格拉斯斯通,高难度谈话（2018新版）,//img14.360buyimg.com/n3/jfs/t19198/61/831506163/394701/63c72f4e/5aa8f7f4N4e1e5012.jpg,, 60 ,光明日报出版社,45.00
12264231,33.50,道格拉斯斯通,高难度谈话（2018新版）,//img14.360buyimg.com/n3/jfs/t19198/61/831506163/394701/63c72f4e/5aa8f7f4N4e1e5012.jpg,, 60 ,光明日报出版社,45.00
12264231,33.50,道格拉斯斯通,高难度谈话（2018新版）,//img14.360buyimg.com/n3/jfs/t19198/61/831506163/394701/63c72f4e/5aa8f7f4N4e1e5012.jpg,, 60 ,光明日报出版社,45.00
12304478,29.40,吴军,见识,//img14.360buyimg.com/n3/jfs/t13693/361/2327919000/109212/92d81771/5a6ad755N0e994882.jpg,, 63 ,中信出版集团，中信出版社,49.00
11941728,26.80,贾平凹,自在独行：贾平凹的独行世界（陈坤推荐）,//img14.360buyimg.com/n3/jfs/t2737/328/1405538066/202534/aab816bf/573d821aN9de83d79.jpg,, 64 ,长江文艺出版社,39.00
11939048,28.10,王陆,雅思王听力真题语料库（机考笔试综合版）（附赠音频）,//img10.360buyimg.com/n3/jfs/t5623/162/6802382743/215825/b97a196b/596c5c0bN569a1015.jpg,, 65 ,中国人民大学出版社,37.50
11143993,21.50,安托万·德·圣埃克苏佩里,小王子（法国“圣埃克苏佩里基金会”官方认可简体中文译本）,//img10.360buyimg.com/n3/jfs/t2764/108/2570036299/460188/f5324960/576b51dfNe4694e46.jpg,, 66 ,天津人民出版社,32.00
11972883,326.40,杨红樱,杨红樱淘气包马小跳系列典藏版 礼盒装（套装共24册）,//img12.360buyimg.com/n3/jfs/t3067/340/2563991800/194582/944d2709/57e38166N4980518b.jpg,, 67 ,浙江少年儿童出版社,384.00
11096744,12.20,杨绛,我们仨/杨绛作品,//img11.360buyimg.com/n3/jfs/t1543/143/360365215/354050/8ee304f5/5577dd14N1e66fcf6.jpg,, 68 ,生活·读书·新知三联书店,23.00
12131999,58.40,英国快乐瓢虫出版公司,小猪佩奇双语故事纸板书（原版引进套装共4册）,//img14.360buyimg.com/n3/jfs/t5608/231/8647216038/395681/58a60dbb/597e9b76N529731a4.jpg,, 69 ,安徽少年儿童出版社,80.00
12304019,63.70,谢茹,可爱的数学（套装全8册）,//img11.360buyimg.com/n3/jfs/t18544/232/488447750/606085/375a5cb8/5a8e6f98N737ef060.jpg,, 70 ,中国人口出版社,108.00
11897938,12.50,杨红樱,杨红樱笑猫日记：转动时光的伞,//img12.360buyimg.com/n3/jfs/t4066/321/138275240/593778/8e015c12/58ae47e9Nf7f5ae83.jpg,, 71 ,明天出版社,15.00
12292971,64.00,习近平,习近平谈治国理政第一卷（2018再版）,//img14.360buyimg.com/n3/jfs/t14884/55/2166180499/105466/d435dd9f/5a71398bN3e12823b.jpg,, 72 ,外文出版社,80.00
12316168,76.80,小木盒童书馆,智力大挑战幼儿专注力培养（套装共12册）,//img14.360buyimg.com/n3/jfs/t15580/128/2125230371/346649/92ccf62a/5a9236f1N531218cc.jpg,, 73 ,长江出版社,153.60
12251170,18.70,王一梅,王一梅童书经典长篇童话--鼹鼠的月亮河,//img12.360buyimg.com/n3/jfs/t10852/323/2069109156/229668/5de2f95e/59edacaeNcd2eaddf.jpg,, 74 ,新蕾出版社,25.00
12153992,28.90,二混子,半小时漫画中国史,//img11.360buyimg.com/n3/jfs/t6316/301/2555497884/409452/aae9ffe7/5964532dNa3229b7b.jpg,, 75 ,江苏凤凰文艺出版社,39.90
11972456,23.80,简·尼尔森,正面管教（修订版）,//img14.360buyimg.com/n3/jfs/t17581/45/487828828/499729/2bb5a742/5a813fe7N42717af5.jpg,, 76 ,北京联合出版公司,38.00
12321278,113.70,Thomas看看世界,风光摄影后期基础 （全彩）,//img11.360buyimg.com/n3/jfs/t19060/348/686254820/275607/df01269e/5aa08d4bN65365f1e.jpg,, 77 ,电子工业出版社,148.00
11687858,26.90,克莱儿·麦克福尔,摆渡人　【荐书联盟推荐】,//img12.360buyimg.com/n3/jfs/t10072/231/1597945576/58010/1512bd1b/59e35198N2e697952.jpg,, 78 ,百花洲文艺出版社,36.00
11967827,23.00,佐佐木圭一,所谓情商高，就是会说话,//img13.360buyimg.com/n3/jfs/t9709/232/1593477494/68134/6654dbca/59e351b6Na0578570.jpg,, 79 ,北京联合出版公司,32.00
12203252,15.60,比尔·布里坦,国际大奖小说·注音版--五毛钱的愿望,//img13.360buyimg.com/n3/jfs/t5923/85/1070412317/395202/1d1624ae/592e77fdNe8ba83ef.jpg,, 80 ,新蕾出版社,20.00
12203252,15.60,比尔·布里坦,国际大奖小说·注音版--五毛钱的愿望,//img13.360buyimg.com/n3/jfs/t5923/85/1070412317/395202/1d1624ae/592e77fdNe8ba83ef.jpg,, 80 ,新蕾出版社,20.00
12203252,15.60,比尔·布里坦,国际大奖小说·注音版--五毛钱的愿望,//img13.360buyimg.com/n3/jfs/t5923/85/1070412317/395202/1d1624ae/592e77fdNe8ba83ef.jpg,, 80 ,新蕾出版社,20.00
11982526,51.90,恐龙小Q儿童创想中心,做内心强大的自己 自信力培养系列（套装共8册）,//img11.360buyimg.com/n3/jfs/t2761/241/3527143133/890200/b6a18d61/5791b685N73e9e3a8.jpg,, 83 ,五洲传播出版社,88.00
12271061,182.60,埃尔热,新版丁丁历险记 大开本经典收藏版（下半部11册）,//img10.360buyimg.com/n3/jfs/t17521/6/400198399/251772/96909295/5a718c59N5a5e4091.jpg,, 84 ,中国少年儿童新闻出版总社,220.00
12255508,14.00,乔治.塞尔登,时代广场的蟋蟀（不老泉文库3）,//img13.360buyimg.com/n3/jfs/t7978/275/3135165117/134978/ac714630/59f03633N03f23971.jpg,, 85 ,二十一世纪出版社,18.00
12299984,36.80,汪开虎,星火英语 英语六级真题试卷 2018年6月全真试题+标准模拟 词汇写作翻译听力阅 ...,//img12.360buyimg.com/n3/jfs/t17827/172/93304178/346468/ac876f70/5a5d6113Ne7e2fe25.jpg,, 86 ,上海交通大学出版社,56.80
12058186,79.70,快乐瓢虫,小猪佩奇趣味贴纸游戏书（8册套装）,//img13.360buyimg.com/n3/jfs/t3451/90/758861696/258163/b95752c/58130f31Nb8582cd3.jpg,, 87 ,安徽少年儿童出版社,96.00
12090377,74.50,路遥,平凡的世界：全三册,//img11.360buyimg.com/n3/jfs/t5587/350/4618116432/255954/cd4c1951/59521501N4c19726f.jpg,, 88 ,北京十月文艺出版社,108.00
12179790,28.90,科里·帕特森,关键对话：如何高效能沟通（原书第2版）,//img11.360buyimg.com/n3/jfs/t5221/63/154278673/477310/b8087029/58f9bb83N313675ea.jpg,, 89 ,机械工业出版社,45.00
11457009,23.90,露西,老狼，老狼，几点了（精装版 全彩）,//img12.360buyimg.com/n3/jfs/t5884/162/335347340/652856/8b886437/591ea4d2N224eb50b.jpg,, 90 ,电子工业出版社,29.80
11569295,51.00,史蒂芬·柯维,高效能人士的七个习惯（25周年纪念版）,//img12.360buyimg.com/n3/jfs/t616/231/140231225/644208/207cbdc5/5451b5e9Ndc83a22b.jpg,, 91 ,中国青年出版社,68.00
11483977,141.90,罗德曼·菲尔布里克等,长青藤国际大奖小说：第一辑+第二辑（套装共10册）,//img14.360buyimg.com/n3/jfs/t3088/253/6137253135/153502/faa3341a/589d22baN53f9272f.jpg,, 92 ,晨光出版社,166.90
12298055,21.90,刘嘉,成为最强大脑-最强大脑初试指南,//img14.360buyimg.com/n3/jfs/t19330/111/465728713/211343/6c0e1661/5a81162fN73b1d1ab.jpg,, 93 ,九州出版社,29.80
12298055,21.90,刘嘉,成为最强大脑-最强大脑初试指南,//img14.360buyimg.com/n3/jfs/t19330/111/465728713/211343/6c0e1661/5a81162fN73b1d1ab.jpg,, 93 ,九州出版社,29.80
12302634,19.90,赛雷,国家是怎样炼成的,//img13.360buyimg.com/n3/jfs/t19336/178/273325761/293889/a876c32b/5a67f515N0a5425bc.jpg,, 95 ,致公出版社,48.00
11879584,34.50,田英章,华夏万卷 田英章硬笔书法楷书入门字帖:教程+3500字+千古名句(套装共5册 附 ...,//img11.360buyimg.com/n3/jfs/t5773/234/1994454632/268123/dc05ab31/592bf16dN6d2719ef.jpg,, 96 ,上海交通大学出版社,69.00
12083147,12.50,雷欧幻像,怪物大师19：绝望的圣城囚笼,//img10.360buyimg.com/n3/jfs/t6439/173/953771713/400132/963dc0a0/59479686Nc41d1362.jpg,, 97 ,接力出版社,15.00
11932116,112.00,J.J.艾布拉姆斯,S. 忒修斯之船 （简体中文典藏复刻版）,//img13.360buyimg.com/n3/jfs/t2704/358/1263659153/146702/9b82da11/5739723fN33985898.jpg,, 98 ,中信出版社,168.00
12070441,26.30,五味太郎,小金鱼逃走了,//img14.360buyimg.com/n3/jfs/t4942/198/2538628447/210377/b0d3ce91/590193d8N8e56bee0.jpg,, 99 ,新星出版社,35.00
11801688,22.70,马歇尔·卢森堡,非暴力沟通,//img13.360buyimg.com/n3/jfs/t5653/246/1999052294/365325/48b4cb1/592bf16cN5961eec1.jpg,, 100 ,华夏出版社,33.00
11801688,22.70,马歇尔·卢森堡,非暴力沟通,//img13.360buyimg.com/n3/jfs/t5653/246/1999052294/365325/48b4cb1/592bf16cN5961eec1.jpg,, 100 ,华夏出版社,33.00
11801688,22.70,马歇尔·卢森堡,非暴力沟通,//img13.360buyimg.com/n3/jfs/t5653/246/1999052294/365325/48b4cb1/592bf16cN5961eec1.jpg,, 100 ,华夏出版社,33.00
